Source,Name,RSS feed URLs (where available),Type,Topic,Source or Referring 2,Editorial Slant,AllSides Rating,Pew Rating,BU_Libraries_ideology_score,Facebook_paper_ideology_score,AdFontes Bias,AdFontes Bias Score,AdFontes Reliability,AdFontes Reliability Score,Associated Twitter Handle,Associated Publisher,Text Aliases,Description,Position (if explicit),wiki_url,wiki_summary_city,wiki_summary_country,Country,Region,Twitter_bio,Est number of pages
http://ottawacitizen.com,The Ottawa Citizen,,News Source,International,Referring,,,,,-0.9487,,,,,@OttawaCitizen,The Ottawa Citizen,,,,https://en.wikipedia.org/wiki/Ottawa_Citizen,Ottawa,Canada,Canada,NAmerica,,
https://ottawasun.com,The Ottawa Sun,,News Source,International,Referring,,,,,-0.9487,,,,,@ottawasuncom,The Ottawa Sun,,,,https://en.wikipedia.org/wiki/Ottawa_Sun,Ottawa,Canada,Canada,NAmerica,,
https://theoutline.com,The Outline,,News Source,International,Referring,,,,,-0.9487,,,,,@outline,The Outline,,US left-wing culture/news,,,,,United States,NAmerica,,
https://www.thepeninsulaqatar.com,The Peninsula,,News Source,International,Referring,,,,,,,,,,@peninsulaqatar,The Peninsula,,Qatar news in English,,,,,Qatar,MENA,,
https://www.thepeterboroughexaminer.com,The Peterborough Examiner,,News Source,International,Referring,,,,,,,,,,@ptboexaminer,The Peterborough Examiner,,ON news,,https://en.wikipedia.org/wiki/The_Peterborough_Examiner,Peterborough,,Canada,NAmerica,,
https://www.inquirer.com,The Philadelphia Inquirer,,News Source,International,Referring,,left-center,,,,,,,,@PhillyInquirer,The Philadelphia Inquirer,,Philly news,,https://en.wikipedia.org/wiki/The_Philadelphia_Inquirer,Philadelphia,United States,United States ,NAmerica,,
https://www.thetrumpet.com,The Phildelphia Trumpet,,News Source,Christian,Referring,,,,,,,,,,@theTrumpet_com,The Phildelphia Trumpet,,Philly based evangelical Christian news,,,,,United States,NAmerica,,
https://www.dailypioneer.com,The Pioneer,,News Source,International,Referring,,,,,,,,,,@TheDailyPioneer,The Pioneer,,Indian news in English,,,,,India,Asia,,
https://www.cleveland.com,The Plain Dealer,,News Source,International,Referring,left-center,,,Leans Liberal,-0.4428,,,,,@clevelanddotcom,The Plain Dealer,,Cleveland news,,https://en.wikipedia.org/wiki/The_Plain_Dealer,Cleveland,United States,United States,NAmerica,,
https://www.providencejournal.com,The Providence Journal,,News Source,International,Referring,,,,,,,,,,@projo,The Providence Journal,,,,https://en.wikipedia.org/wiki/The_Providence_Journal,Providence,United States,United States,NAmerica,,
